date,mahalanobis_distance,pca_reconstruction_error,kmeans_regime,max_abs_rolling_zscore
2026-06-08,3.241426347853991,0.8618749496767671,Watch input regime,2.758065288791717
2026-06-09,2.4222150901799835,0.8252693366430142,Normal input regime,2.5678484987657315
2026-06-10,2.4157389012576944,0.8597148309054019,Stress input regime,2.5746977391369694
2026-06-11,3.8637745166551625,0.8780544879929455,Normal input regime,2.5409863380679147
2026-06-12,2.4699732797849614,0.6842424318308866,Stress input regime,2.0884940478393665
2026-06-15,2.358690082295564,0.7823218611991867,Normal input regime,1.8635022032363218
2026-06-16,2.7800042644527547,0.735765133099639,Normal input regime,1.737061906019706
2026-06-17,5.461956405755708,1.689825507245052,Stress input regime,3.6287314732795872
2026-06-18,4.179020084286424,1.2019906426331428,Watch input regime,2.92580317868045
2026-06-22,3.4450448262800673,1.1510629696917047,Stress input regime,2.699825187864434
2026-06-23,4.732517647691494,1.2993069370099715,Watch input regime,2.6779658816966823
2026-06-24,3.7869474662338076,1.0706260638509135,Normal input regime,2.1393196347793477
2026-06-25,3.467167400767382,1.1231337573049347,Stress input regime,1.7861827749799872
2026-06-26,2.579630011350289,0.811336089475769,Normal input regime,1.673699328904791
2026-06-29,2.8676559479625148,0.7499062797495084,Stress input regime,1.4928616488910185
2026-06-30,2.7945340464661586,0.8605674739352244,Stress input regime,1.7589314717342133
2026-07-01,2.9765322866323127,1.0371048405207834,Stress input regime,2.078722393928271
2026-07-02,3.1472116666068373,1.0085824415416167,Watch input regime,2.0954250448256277
2026-07-06,2.9627247079995493,0.9626853668818327,Normal input regime,1.9045364905846753
